renglon,año,ent,id_ent,cvegeo,pob,pobh,pobm,nac,defs,emigintnal,inmigintnal,emigest,inmigest,crecnat,crecsoct,crect,e0h,e0m,e0,mnest,mnintnal,tmih,tmim,tmi,tbm,tbn,tcn,tcs,tc,temigest,tinmigest,tmnetest,tmnetintnal,tgf
824,1993,Puebla,21,21,4734278,2317465,2416813,142378,27656,26950,1303,41211,31749,114722,-35109,79613,66.91842929,75.10163742,70.91023814,-9462,-25647,42.53814175,34.61057897,38.67103796,5.84165104,30.07385709,2.423220605,-0.741591432,1.681629173,0.870481201,0.670619681,-0.199861521,-0.541729911,3.685911479
825,1994,Puebla,21,21,4815366,2355139,2460227,143209,27701,28343,1564,41571,32171,115508,-36179,79329,67.40407539,75.26696331,71.23963047,-9400,-26779,40.70126079,33.11602582,37.00114617,5.752626072,29.74000315,2.398737708,-0.751323991,1.647413717,0.863298865,0.668090442,-0.195208422,-0.556115568,3.608852265
826,1995,Puebla,21,21,4895089,2391824,2503265,141972,27726,29877,1818,41874,32530,114246,-37403,76843,67.84661797,75.42310654,71.54246605,-9344,-28059,38.92866458,31.67377709,35.38969508,5.664044106,29.00294561,2.33389015,-0.764092338,1.569797812,0.855428778,0.664543586,-0.190885191,-0.573207147,3.487076875
827,1996,Puebla,21,21,4969986,2425678,2544308,140427,27789,31577,2057,42101,32830,112638,-38791,73847,68.24848112,75.57084429,71.82036559,-9271,-29520,37.22160152,30.28484851,33.83781956,5.591363839,28.25500917,2.266364533,-0.780505217,1.485859316,0.847105002,0.660565241,-0.186539761,-0.593965456,3.367484331
828,1997,Puebla,21,21,5042096,2457761,2584335,139960,27832,33188,2369,42270,33062,112128,-40027,72101,68.61254844,75.82397655,72.13031825,-9208,-30819,35.58088669,28.94990326,32.34626062,5.519926634,27.75829734,2.223837071,-0.793856364,1.429980706,0.838341832,0.655719368,-0.182622465,-0.6112339,3.282539482
829,1998,Puebla,21,21,5113198,2488749,2624449,139482,28072,34505,2750,42395,33220,111410,-40930,70480,68.94190691,75.88369428,72.32814465,-9175,-31755,34.00692674,27.66927221,30.91538795,5.490106192,27.27881846,2.178871227,-0.800477509,1.378393718,0.829128854,0.64969125,-0.179437604,-0.621039905,3.203817436
830,1999,Puebla,21,21,5188507,2522389,2666118,138951,28272,35712,3231,42484,33313,110679,-41652,69027,69.23967652,76.01788844,72.54612136,-9171,-32481,32.49974809,26.44297686,29.54522554,5.44896634,26.78053629,2.133156995,-0.802774286,1.330382709,0.818809727,0.642053677,-0.176756049,-0.626018236,3.126484182
831,2000,Puebla,21,21,5250025,2549628,2700397,138097,28526,46073,3728,42312,33406,109571,-51251,58320,69.50890528,76.14776759,72.7473747,-8906,-42345,31.05902756,25.27075424,28.2354796,5.433497936,26.30406522,2.087056728,-0.976204875,1.110851853,0.805939019,0.636301732,-0.169637287,-0.806567588,3.059663568
832,2001,Puebla,21,21,5301444,2571588,2729856,137041,28762,43547,4026,41994,33519,108279,-47996,60283,69.75251147,76.27336654,72.93341638,-8475,-39521,29.68412467,24.15208325,26.98556788,5.425314311,25.84974962,2.04244353,-0.905338244,1.137105287,0.792123806,0.632261701,-0.159862105,-0.745476138,3.000718572
833,2002,Puebla,21,21,5364489,2598808,2765681,136187,29056,41247,4331,41676,33611,107131,-44981,62150,69.97325819,76.39473828,73.1056875,-8065,-36916,28.37411482,23.0862116,25.79464984,5.416359321,25.38676098,1.997040165,-0.838495521,1.158544644,0.776886671,0.626546163,-0.150340508,-0.688155013,2.93973512
834,2003,Puebla,21,21,5428158,2625788,2802370,135333,29389,41585,4616,41328,33670,105944,-44627,61317,70.17374884,76.51195195,73.26555523,-7658,-36969,27.12782261,22.07218294,24.66165692,5.41417549,24.9316619,1.951748641,-0.822138928,1.129609713,0.761363247,0.620284082,-0.141079165,-0.681059763,2.880660903
835,2004,Puebla,21,21,5493482,2654779,2838703,134546,29753,42278,4913,40947,33687,104793,-44625,60168,70.35643528,76.62509079,73.41431602,-7260,-37365,25.9438547,21.1088636,23.58532246,5.416054881,24.49193426,1.907587938,-0.812326317,1.095261621,0.745374245,0.613217628,-0.132156618,-0.680169699,2.827018466
836,2005,Puebla,21,21,5545664,2675942,2869722,133384,30169,49675,5198,40477,33678,103215,-51276,51939,70.52363265,76.73425013,73.55320215,-6799,-44477,24.82063178,20.19496858,22.56421071,5.440106,24.05194401,1.861183801,-0.924614257,0.936569543,0.729885547,0.607285259,-0.122600287,-0.80201397,2.774055629
837,2006,Puebla,21,21,5590760,2692073,2898687,131900,30555,43403,5485,40050,33657,101345,-44311,57034,70.67753673,76.83953546,73.68338977,-6393,-37918,23.75641912,19.32908647,21.59674466,5.465267692,23.59249905,1.812723136,-0.792575607,1.020147529,0.716360566,0.602011176,-0.114349391,-0.678226216,2.717385009
838,2007,Puebla,21,21,5651042,2717354,2933688,131042,30990,35954,5760,39647,33619,100052,-36222,63830,70.82024114,76.94106064,73.80600675,-6028,-30194,22.74935551,18.50970289,20.68123228,5.483944377,23.18899771,1.770505333,-0.640979133,1.129526201,0.701587424,0.594916831,-0.106670593,-0.53430854,2.667451591
839,2008,Puebla,21,21,5722490,2750078,2972412,130548,31725,29789,6034,39294,33577,98823,-29472,69351,70.72557252,77.02538202,73.79865033,-5717,-23755,21.79748018,17.73522251,19.81589107,5.543915324,22.81314603,1.72692307,-0.515020559,1.211902511,0.686659129,0.586755066,-0.099904063,-0.415116496,2.621175808
840,2009,Puebla,21,21,5796436,2785551,3010885,129919,32327,30003,6313,38917,33508,97592,-29099,68493,70.80811619,77.11009158,73.88225052,-5409,-23690,20.89875772,17.00398924,18.99887066,5.577047689,22.41360036,1.683655267,-0.502015376,1.18163989,0.671395319,0.578079358,-0.093315962,-0.408699415,2.572590118
841,2010,Puebla,21,21,5863822.604,2815862.591,3047960.013,129401.9847,32781,27110.28465,5623.51791,38934.95804,33880.13209,96620.9847,-26541.59269,70079.39201,70.97481812,77.17940991,74.00144826,-5054.825952,-21486.76674,20.05110075,16.3143047,18.22827341,5.590380578,22.06785461,1.647747403,-0.452632941,1.195114463,0.663985947,0.577782351,-0.086203596,-0.366429345,2.529939196
842,2011,Puebla,21,21,5935013.933,2851503.402,3083510.531,129021.7955,33266,27420.85705,5006.705182,39234.23119,34111.57378,95755.79551,-27536.80928,68218.98623,71.14043962,77.31302254,74.15145568,-5122.657406,-22414.15187,19.25239041,15.66444493,17.5021731,5.605041602,21.7390889,1.61340473,-0.463972108,1.149432621,0.661063843,0.574751368,-0.086312475,-0.377659634,2.493762478
843,2012,Puebla,21,21,6002161.489,2883013.207,3119148.282,128636.7247,33764,27720.62613,4461.159386,39521.34885,34332.00728,94872.72469,-28448.80831,66423.91638,71.30440148,77.44493968,74.29978597,-5189.34157,-23259.46674,18.50049462,15.05267516,16.81863147,5.625306827,21.43173337,1.580642655,-0.473976056,1.106666599,0.658451941,0.571994061,-0.08645788,-0.387518176,2.460186706
844,2013,Puebla,21,21,6067607.269,2913561.388,3154045.881,128262.8651,34214,28008.46664,3978.283185,39794.81913,34542.06428,94048.86512,-29282.9383,64765.92682,71.51214659,77.58409101,74.4740707,-5252.754847,-24030.18346,17.79328416,14.47726302,16.17571288,5.638796067,21.13895304,1.550015697,-0.48261097,1.067404727,0.65585687,0.569286421,-0.086570449,-0.396040521,2.429062493
845,2014,Puebla,21,21,6131497.879,2943261.862,3188236.017,127888.9846,34677,28282.96238,3550.612388,40054.97016,34741.37538,93211.98459,-30045.94477,63166.03982,71.71668725,77.72125745,74.64574588,-5313.594779,-24732.34999,17.12864679,13.93648989,15.57149708,5.655551169,20.85770673,1.520215556,-0.490026179,1.030189377,0.653265661,0.56660503,-0.086660631,-0.403365547,2.400243123
846,2015,Puebla,21,21,6193836.189,2972116.913,3221719.275,127475.6889,35150,28542.23864,3171.5704,40300.47011,34931.5109,92325.68886,-30739.62745,61586.06141,71.91810909,77.85652143,74.81489559,-5368.959219,-25370.66823,16.50449921,13.42866072,15.00409019,5.674996711,20.5810559,1.490605919,-0.49629384,0.994312079,0.650654439,0.563972146,-0.086682293,-0.409611547,2.373585564
